"Summary","UID","Description","Location","Start Time","End Time","URL"
"Study art in Italy","21810@utexas.edu","Learn more about our Learning Tuscany study abroad program at this information session. ARH 374 is taught by Ann Johns, and ART 319T taught by Dan Sutherland, both of the College of Fine Arts.","Art Building (ART) 1.120","2012-10-01 18:00:00-05:00","2012-10-01 20:00:00-05:00","http://utdirect.utexas.edu/io/abroad/pgm_list/detail.WBX?s_master_id=470"
"Lars von Trier film series continues with ""The Idiots""","22149@utexas.edu","""The Idiots"" (1998) is Lars von Trier's utterly shocking Dogme movie: A group of perfectly intelligent young people decides to react to society's aimlessness and lack of creativity by living together in a community of ""idiots."" Pretending to be mentally disabled, they attempt to create anarchy everywhere they go.","Burdine Hall (BUR) 337","2012-10-01 18:00:00-05:00","2012-10-01 20:00:00-05:00","http://www.utexas.edu/cola/depts/germanic/events/23886"
"Harry Ransom Center presents Geoff Dyer, writer","21875@utexas.edu","Novelist and essayist Geoff Dyer, author of ""The Ongoing Moment"" and ""The Missing of the Somme,"" presents ""Close Enough,"" a lecture about the changes in war writing and war photography over time. Doors open at 6:20 p.m. for members and at 6:30 p.m. for others.","Harry Ransom Center (HRC)","2012-10-01 19:00:00-05:00","2012-10-01 20:00:00-05:00","http://www.hrc.utexas.edu"
"Fallacies of the public goods theory is Mises Circle topic","22117@utexas.edu","This week's Mises Circle meeting focuses on Hans-Hermann Hoppe's classic ""Fallacies of the Public Goods Theory and the Production of Security."" Read the material here: https://mises.org/journals/jls/9_1/9_1_2.pdf.



Are roads, education, security or other such goods public goods? Are governments necessary to provide these goods? Or can the market not only provide them but provide them more efficiently and effectively?



Hoppe argues that public goods do not exist, and that the government has no business being involved in the production of any goods, even those seemingly ""public.""","Waggener (WAG) 308","2012-10-01 19:00:00-05:00","2012-10-01 20:00:00-05:00","http://www.facebook.com/events/285270361577897/"
"UT Symphony Orchestra performs","21897@utexas.edu","The UT Symphony Orchestra performs under the direction of Gerhardt Zimmermann, conductor. The program features Corigliano, Gazebo Dances, Martin Concerto for 7 Winds, Dvorak, Symphony No. 9 in E Minor, Op. 9.","Bates Recital Hall (MRH 3.838)","2012-10-01 19:30:00-05:00","2012-10-01 21:30:00-05:00","http://www.music.utexas.edu/calendar/details.aspx?id=23226"
"Experts discuss the economy in 2013","21521@utexas.edu","A panel of experts discusses the future of the economy, addressing such issues as budget deficits, double-dip recession, Europe's financial challenges, the Dow and the Texas economy. Distinguished panelists are Dean Tom Gilligan, Spencer Berthelsen, M.D. and Steve Felice. Register at http://msb.connect.utexas.edu/economy2013live.","AT&T Executive Education and Conference Center (ATT) 204","2012-10-02 07:00:00-05:00","2012-10-02 09:00:00-05:00","http://directory.mccombs.utexas.edu/site/Calendar?id=113703&view=Detail"
"PCL bake sale to benefit Hearts of Texas","22137@utexas.edu","The Perry-Castañeda Library holds its annual bake sale as part of the Hearts of Texas employee charitable campaign.

Stop by and grab a delicious treat donated by the UT Libraries staff and support a charitable cause.","Perry-Castaneda Library (PCL), plaza","2012-10-02 08:00:00-05:00","2012-10-02 13:00:00-05:00","http://www.lib.utexas.edu/calendar/pcl-bake-sale-benefit-hearts-texas"
"Participants needed for language study","22157@utexas.edu","The Department of Linguistics seeks native speakers of English ages 18 and over to participate in a study of language processing. A session lasts approximately 1 hour and pays &#36;10 per hour. Contact utlingpsych@gmail.com for more details.","Calhoun Hall (CAL)","2012-10-02 09:00:00-05:00","2012-10-02 17:00:00-05:00",""
"Red Flag Project spotlights relationship violence awareness","22215@utexas.edu","A dynamic art installation titled ""Red Flag"" highlights warning signs of an abusive relationship. Do you know the red flags of relationship violence? Learn more here:  http://www.cmhc.utexas.edu/dv_redflags.html. This exhibit is part of Relationship Violence Awareness Month.","Gregory Gym (GRE), concourse","2012-10-02 09:00:00-05:51","2012-10-02 17:00:00-05:51","http://www.cmhc.utexas.edu/vav.html"
"Participants ages 55-65 sought for pedometer study","21949@utexas.edu","Participants ages 55-65 are sought for a research study to examine the accuracy of pedometers. Participants must be able to walk without difficulty. Payment is &#36;30 upon completion. Contact utcardiovascularrecruitment@gmail.com.","Bellmont Hall (BEL) 842","2012-10-02 09:00:00-05:51","2012-10-02 17:00:00-05:51",""
"Texas American College of Sports Medicine lecture presented","21379@utexas.edu","Claude Bouchard, Ph.D., professor at Pennington Biomedical Research Center, Louisiana State University, presents ""Physical Activity Attenuates the Influence of a Genetic Predisposition to Obesity,"" the first fall lecture of the Texas American College of Sports Medicine series. Find Bouchard's bio here: http://www.pbrc.edu/research-and-faculty/faculty/?faculty=20.","Bellmont Hall (BEL) 328","2012-10-02 11:00:00-05:00","2012-10-02 12:00:00-05:00","http://www.edb.utexas.edu/education/departments/khe/"
"Study Czech literature in Prague","21880@utexas.edu","Attend an information session to learn about studying Czech literature in Prague.","Calhoun Hall (CAL) 422","2012-10-02 12:00:00-05:00","2012-10-02 13:00:00-05:00","http://world.utexas.edu/abroad/programs/mm"
"UHS holds flu shot clinic at Student Activity Center","22187@utexas.edu","University Health Services provides flu shots to UT students, faculty and staff. Bring UT ID and insurance card, if you have insurance. UT Select Insurance or &#36;10 (cash or check only) accepted for faculty/staff. For students, most health insurance accepted, except HMO plans, non-U.S. plans or government health insurance. Uninsured students or students with excluded insurance pay &#36;10 by cash, check or posting charge to ""WhatOwe.""","Student Activity Center (SAC), ballroom 2.410","2012-10-02 12:00:00-05:00","2012-10-02 16:00:00-05:00","http://www.healthyhorns.utexas.edu"
"American power after the financial crisis is lecture topic","22106@utexas.edu","The Robert S. Strauss Center for International Security and Law presents ""American Power After the Financial Crisis"" with Jonathan Kirshner, professor of international relations and political economy, Cornell University. Refreshments provided.



Kirshner is the author of ""Currency and Coercion: The Political Economy of International Monetary Power.""","LBJ School, Bass Lecture Hall 2.104","2012-10-02 12:15:00-05:00","2012-10-02 13:30:00-05:00","http://strausscenter.org/details/203-american-power-after-the-financial-crisis.html"
"Natural Sciences Week presents Visualization Lab tours","22252@utexas.edu","The College of Natural Sciences houses the highest resolution tiled display in the world. Spanning over 15 feet, the Stallion display is one among the many exciting visualization resources available at the College of Natural Sciences and at the pioneering edge of research and technology. Take an exclusive tour of the Visilab.","Applied Computational Engineering & Sciences Building (ACE) 4.204A","2012-10-02 14:00:00-05:00","2012-10-02 15:00:00-05:00","http://cns.utexas.edu/nsc"
"Computer Science hosts internal transfer info session","21732@utexas.edu","Learn more about the computer science major. RSVP to under-info@cs.utexas.edu.","Applied Computational Engineering & Sciences Building (ACE) 5.336","2012-10-02 15:00:00-05:00","2012-10-02 16:00:00-05:00",""
"Chemical Engineering Seminar presents Dr. Shaoyi Jiang ","21811@utexas.edu","Dr. Shaoyi Jiang, Boeing-Roundhill professor of chemical engineering and adjunct professor of bioengineering at the University of Washington, presents on ""Molecular Understanding, Design and Development of Ultra Low Fouling Zwitterionic-based Functional Materials.""","Chemical and Petroleum Engineering Building (CPE) 2.218","2012-10-02 15:30:00-05:00","2012-10-02 16:30:00-05:00","http://www.che.utexas.edu/event/dr-shaoyi-jiang-university-of-washington/"
"Social Work Maymester in London hosts information session","21555@utexas.edu","Attend an information session about the social work Maymester course in London, England, Roots of Social and Economic Justice: An International Perspective.","Calhoun Hall (CAL) 21","2012-10-02 16:00:00-05:00","2012-10-02 17:00:00-05:00",""
"Visiting Artists Program presents Sarah Oppenheimer","22011@utexas.edu","Sarah Oppenheimer examines our perception of space through sculpture and installation. By creating new apertures in existing structures, she establishes new lines of sight with a play on architectural intervention.","Art Building (ART) 1.102","2012-10-02 17:00:00-05:00","2012-10-02 19:00:00-05:00","https://www.utexas.edu/finearts/aah/about/special-programs/lecture-series/visiting-artists"
"DDCE pre-college alumni reunion announced","22165@utexas.edu","UT students who were once part of a DDCE pre-college program such as UT Outreach, ChemBridge or SPURS are invited to reconnect with other alumni from those programs and, together, learn of resources on campus to ensure your success. Free food served. Email thais@austin.utexas.edu if you are interested in attending.","Texas Union Building (UNB), Asian Culture Room 4.224","2012-10-02 17:00:00-05:00","2012-10-02 18:30:00-05:00",""
"Transferable skills is S.E.E.D. workshop topic","21638@utexas.edu","Being a student employee at The University of Texas at Austin has implications for your future career. Learn to identify transferable skills you are currently gaining, and how to best market these experiences to future employers on a resume and in a job interview. Presented by the Center for Strategic Advising and Career Counseling.","Jester (JES) A309","2012-10-02 17:00:00-05:00","2012-10-02 18:00:00-05:00","http://tinyurl.com/9mddtjx"
"Entrepreneurship Live features chairman & CEO of Barynoyx","22245@utexas.edu","This week's Entrepreneurship Live features Ian Hatton, CEO and chairman of Barynoyx Corporation, which specializes in offshore wind energy and energy data centers. If you have an interest in clean technologies, don't miss this event. Meet and greet begins at 5:30 p.m. Networking event, with food and drinks, follows at 8 p.m.","AT&T Executive Education and Conference Center (ATT) 201","2012-10-02 17:30:00-05:00","2012-10-02 20:00:00-05:00","http://tinyurl.com/EIR-Speakers-Oct-2"
"Role of analytics is seminar topic","22012@utexas.edu","The Austin Forum presents ""More Than You Think You Know: Analyzing the Data That's Around Us,"" featuring John B. Gordon, IBM Watson Solutions. The role of analytics is coming into much clearer focus as organizations face an overwhelming volume of data from billions of new and diverse sources. This seminar addresses the resulting new complexities for leaders across industries.","AT&T Executive Education and Conference Center (ATT), Amphitheater 204","2012-10-02 17:45:00-05:00","2012-10-02 19:30:00-05:00","http://www.austinforum.org"
"Science of addiction is Science Study Break topic","21260@utexas.edu","Dr. Carlton Erickson of the School of Pharmacy's Addiction Science & Research Center discusses the science of addiction, using scenes from ""House,"" ""Nurse Jackie,"" ""E.R."" and other television shows.","Robert A. Welch Hall, WEL 2.312","2012-10-02 18:00:00-05:00","2012-10-02 19:00:00-05:00","http://www.lib.utexas.edu/calendar/science-study-break-science-addiction-dr-carlton-erickson"
"Natural Sciences Week hosts Opportunities Abroad session","22253@utexas.edu","Interested in the various study and research opportunities abroad? Attend this session to hear Dr. Mark Bierner's faculty perspective, listen to student testimonials and learn more about traveling abroad through the College of Natural Sciences.","Welch Hall (WEL) 2.308","2012-10-02 18:00:00-05:00","2012-10-02 20:00:00-05:00","http://cns.utexas.edu/nsc"
"Webinar addresses how to prepare for first job interview","22246@utexas.edu","Interviewing is the last step toward employment that we must master. But how? Attend a special re-broadcast of featured speaker Dennis Guthrie, who gives tips on how to master your next interview, detailing how to prepare and interview for your first job out of school. Social hour, featuring snacks and refreshments, begins at 6:30 p.m.; webinar begins at 7.","Hackerman Building (NHB) 1.720","2012-10-02 18:30:00-05:00","2012-10-02 20:30:00-05:00",""
"Amazon.com tech talk and info session presented","22214@utexas.edu","Attend a tech talk and information session on how scalability programming and machine learning are used at Amazon. Amazon is currently hiring full-time software engineers. Free food served and free Amazon t-shirts given away.","Welch Hall (WEL) 2.224","2012-10-02 18:30:00-05:00","2012-10-02 20:30:00-05:00",""
"Fisher v. Texas is topic of civil rights forum","22150@utexas.edu","A diverse panel of attorneys discusses ""Fisher v. Texas and You: A Conversation with Civil Rights Leaders"" at a town hall-style night of learning and dialogue. The panel represents Asian American, Mexican American and African American civil rights groups. Dr. Eric Tang (Center for Asian American Studies and African & African Diaspora Studies) moderates.","Burdine Hall (BUR) 106","2012-10-02 19:00:00-05:00","2012-10-02 21:00:00-05:00","https://www.facebook.com/events/509136432449773/"
"LGBTQ relationship violence is topic of performance","22152@utexas.edu","Explore how relationship violence and LGBTQ issues relate in an interactive theater performance in honor of Relationship Violence Awareness month. In this presentation, Scott is coming out as transgender, but his girlfriend, Alex, wants to control his identity. What does this mean for their relationship and for Alex's identity? Who gets to decide? ","Jackson Geological Sciences Building (JGB) 2.202","2012-10-02 19:00:00-05:00","2012-10-02 20:30:00-05:00",""
"""Why Bother?"" Forum asks how to engage Texans in democracy","22018@utexas.edu","Only 32 percent of eligible voters in Texas participated in the 2010 election. Many ask, ""why bother?"" ""Why Bother? Engaging Texans in Democracy Today,"" a news and public dialogue series, investigates the range of causes for voter apathy in Texas, exploring new forms of engagement and what can be done to inspire more people to get involved in the democratic process.","Jones Communications Building B (CMB), Studio 6A, KLRU","2012-10-02 19:00:00-05:00","2012-10-02 20:00:00-05:00","https://www.klrusupport.org/whybother"
"Theta Nu Xi Multicultural Sorority holds info session","22216@utexas.edu","Theta Nu Xi Sorority is active in shaping the community through ethics, diversity, leadership and more. Attend this information session to learn more about the organization and meet the current members.","Mezes Hall (MEZ) 1.216","2012-10-02 19:30:00-05:00","2012-10-02 20:30:00-05:00","http://thetanuxi2004.wix.com/texasphinest"
"UT Micro Farm seeks student leaders","22248@utexas.edu","The UT Micro Farm will be the first student-run sustainable farming initiative on UT's Forty Acres. This project is interdisciplinary and needs participants with many skill sets. Learn more, and sign up to become involved, at the link below, or visit our Facebook page: https://www.facebook.com/UTMicroFarm?ref=ts&fref=ts.","Online","2012-10-03 09:00:00-05:51","2012-10-03 17:00:00-05:51","http://utmicrofarm.tumblr.com/"
"Poetry on the Plaza presents Actors from the London Stage","21876@utexas.edu","The Harry Ransom Center presents the Poetry on the Plaza event ""The Poetry of Jacques Prevert"" with actor Michael Palmer, who is on tour with Actors from the London Stage and plays Shylock in their current production of ""The Merchant of Venice."" Refreshments served.



Pick up a free poster and bookmark with the 2012-2013 Poetry on the Plaza schedule at the visitor desk in the Ransom Center lobby.","Harry Ransom Center (HRC), plaza","2012-10-03 12:00:00-05:00","2012-10-03 13:00:00-05:00","http://www.hrc.utexas.edu"
"Climate change and migration in the Andes is talk topic","21733@utexas.edu","Dr. Teofilo Altamirano presents ""Environmental Refugees: Climate Change and Migration,"" a talk discussing the link between climate change and human displacement in the Andean countries.","Sid Richardson Hall (SRH), Hackett Room 1.313","2012-10-03 12:00:00-05:00","2012-10-03 14:00:00-05:00","http://www.utexas.edu/cola/insts/llilas/events/23737"
"Workshop focuses on emotional eating and losing weight","21741@utexas.edu","Learn how to cope with your emotions and combat overeating from Holistic Health Coach Sarah Franklin. This presentation is a part of Bites of Wellness, a lunch-and-learn series all about wellness. Sign up on TxClass for PN288, or contact healthpoint.wellness@austin.utexas.edu to reserve your spot.","AT&T Executive Education & Conference Center,The Carillon, dining room 1","2012-10-03 12:00:00-05:00","2012-10-03 13:00:00-05:00",""
"CMAS plática explores career of local female boxer","22019@utexas.edu","In 2005, San Angelo native Anissa Zamarron defeated San Antonio's Maribel Zurita to win her second women's boxing world title. She then retired due to injuries. This plática features ""The Assassin"" a short film by Amanda E. Gray, and questions and answers with Zamarron.","Student Activity Center (SAC), Meeting Room 1.106","2012-10-03 12:00:00-05:00","2012-10-03 13:00:00-05:00","http://www.utexas.edu/cola/cmas/"
"Ireland Maymester information session held","22118@utexas.edu","Attend an information session to learn about the university's Maymester in Ireland. Contact Professor Brad Love at lovebrad@austin.utexas.edu with questions. The next session will be held Oct. 11 from 3:30-5 p.m.



The 2013 May-June program at University College Dublin is a writing-intensive course organized by the College of Communication that offers a chance to study Dublin's history as well as the impact of modern media.","Belo Center for New Media (BMC) 3.204","2012-10-03 12:00:00-05:00","2012-10-03 13:00:00-05:00",""
"Rethinking Diplomacy panel topic is nuclear technology","22249@utexas.edu","Join the Student Council for a Rethinking Diplomacy panel discussion on the impact of dual-use nuclear technology on diplomacy within and outside of the United States. Lunch provided.","Harry Ransom Center (HRC), Tom Lea Rooms 3.206","2012-10-03 12:15:00-05:00","2012-10-03 13:45:00-05:00",""
"Tufts professor speaks on cleaner energy technologies ","21844@utexas.edu","Tufts University Associate Professor of Energy and Environmental Policy Kelly Sims Gallagher presents a talk titled ""The Diffusion of Cleaner Energy Technologies"" at this week's UT Energy Symposium.","LBJ School, Bass Lecture Hall 2.104","2012-10-03 12:15:00-05:00","2012-10-03 13:15:00-05:00","http://energy.utexas.edu/index.php?option=com_content&view=article&id=35&Itemid=147"
"Panel discussion on Fisher v. Texas held","22166@utexas.edu","The Public Affairs Alliance for Communities of Color (PAACC) hosts a brown bag panel discussion on the Supreme Court case Fisher v. University of Texas. The outcome of this case will have a definitive impact on affirmative action in the United States. Panelists include Dr. Edwin Dorn, Dr. Lino Graglia, Thomas L. Mariadason and Dr. Leonard N. Moore. Reeve Hamilton of the Texas Tribune moderates.","Sid Richardson Hall (SRH) 3.124","2012-10-03 12:15:00-05:00","2012-10-03 13:15:00-05:00","http://www.groupspaces.com/paacc"
"Suicide among young Latinas discussed in presentation","22123@utexas.edu","Based on results from his NIMH-funded research, School of Social Work dean Dr. Luis Zayas describes the history of suicide attempts among teenage Latinas and how cultural and developmental factors converge to influence them.","School of Social Work (SSW) 2.132","2012-10-03 12:30:00-05:00","2012-10-03 13:30:00-05:00","http://www.utexas.edu/ssw/"
"UHS holds flu shot clinic","22188@utexas.edu","University Health Services provides flu shots to UT students, faculty and staff. Bring UT ID and insurance card, if you have insurance. UT Select Insurance or &#36;10 (cash or check only) accepted for faculty/staff. For students, most health insurance accepted, except HMO plans, non-U.S. plans or government health insurance. Uninsured students or students with excluded insurance pay &#36;10 by cash, check or posting charge to ""WhatOwe.""","Facilities Complex Building 1 (FC1) 1.118","2012-10-03 13:00:00-05:00","2012-10-03 16:00:00-05:00","http://www.healthyhorns.utexas.edu"
"Center for Teaching & Learning presents Dr. David Yeager","22205@utexas.edu","Dr. David Yeager leads a workshop titled ""Productive Persistence: A Practical Theory of Developmental Student Success.""","Flawn Academic Center (FAC) 328","2012-10-03 13:30:00-05:00","2012-10-03 14:30:00-05:00","http://ow.ly/e7BZm"
"Visiting Artists Program presents Sarah Oppenheimer","22020@utexas.edu","Attend a seminar with artist Sarah Oppenheimer, whose work examines our perception of space through sculpture and installation.","Art Building (ART) 3.206","2012-10-03 14:00:00-05:00","2012-10-03 15:30:00-05:00","https://www.utexas.edu/finearts/aah/about/special-programs/lecture-series/visiting-artists"
"ECE Colloquium welcomes Dr. Ruchir Puri","22167@utexas.edu","The Department of Electrical and Computer Engineering proudly presents Dr. Ruchir Puri of the IBM Thomas J. Watson Research Center, giving a talk titled ""Opportunities and Challenges for High Performance Microprocessor Designs and Design Automation.""","Hackerman Building (NHB) 1.720","2012-10-03 14:00:00-05:00","2012-10-03 15:00:00-05:00","http://www.ece.utexas.edu/seminars/seminar_detail.cfm?id=384"
"Google Books and Google Scholar class taught","21429@utexas.edu","Learn how to use two specialized Google searches in conjunction with library resources for research and discovery. ","Perry-Castaneda Library (PCL) 1.124","2012-10-03 15:00:00-05:00","2012-10-03 16:00:00-05:00","http://meeting.austin.utexas.edu/googlebooks/"
"Learn about Sport & English Society Maymester in England","22255@utexas.edu","Hear about how you can take SOC 321K, KIN 350 or EUS 346 in Leeds, England, this June with Dr. Ben Carrington, Department of Sociology.","Bellmont Hall (BEL) 602A","2012-10-03 16:00:00-05:00","2012-10-03 17:00:00-05:00","http://world.utexas.edu/abroad/programs/mm"
"Study marine botany in Mexico Maymester","21812@utexas.edu","Attend an information session to learn how you can take Marine Botany (MNS 352D) in Mexico. Pizza and drinks provided.  ","Painter Hall (PAI) 3.14","2012-10-03 17:00:00-05:00","2012-10-03 18:30:00-05:00","http://cns.utexas.edu/academics/international-study/maymester"
"Natural Sciences Week hosts Quiz Bowl","22256@utexas.edu","Test your mettle or watch others face College of Natural Sciences professors in Natural Science Council's Quiz Bowl trivia night. Free food served.","Welch Hall (WEL) 2.246","2012-10-03 17:00:00-05:00","2012-10-03 18:30:00-05:00","http://cns.utexas.edu/nsc"
"Inclusive Leadership & Social Identities workshop held","22121@utexas.edu","Leaders around the world must embrace diversity in order to bridge disciplines and enhance their global perspective. Learn about your own social identity and how diversity can strengthen you and/or your organization's identity, character and leadership. Offered as part of the Leadership Series.



The Leadership Series is a series of workshops designed to develop both individual student leaders as well as provide resources for growth and change for student organizations. Workshops are held twice a month in the fall and spring semesters.","Recreational Sports Center (RSC) 2.104  ","2012-10-03 17:30:00-05:00","2012-10-03 18:45:00-05:00","http://deanofstudents.utexas.edu/lei/leadership_series.php"
"Peace Corps coffee talk held","22122@utexas.edu","Attend an informational coffee talk on the Peace Corps. Talks are held on the first and third Wednesday of every month and feature former Peace Corps volunteers and the UT recruiter.","Starbucks, 504 W. 24th St.","2012-10-03 17:30:00-05:00","2012-10-03 18:30:00-05:00","http://www.peacecorps.gov"
"Voices Against Violence (VAV) meeting announced","22218@utexas.edu","Attend the third Voices Against Violence meeting to learn about more ways to support the work of VAV during Relationship Violence Awareness Month. No prior experience necessary. Visit VAV on Facebook: http://www.facebook.com/VoicesAgainstViolenceUTAustin.","Student Services Building (SSB) G1.400","2012-10-03 18:00:00-05:00","2012-10-03 19:00:00-05:00","http://www.cmhc.utexas.edu/vav.html"
"Computer Science hosts integrated BS/MS info session","21742@utexas.edu","Learn about the five-year integrated BS/MS (bachelor of science / master of science) program in computer science. You must be a computer science student with a 3.00 GPA to pursue this program. RSVP to under-info@cs.utexas.edu.","Applied Computational Engineering & Sciences Building (ACE) 2.402","2012-10-03 18:00:00-05:00","2012-10-03 19:00:00-05:00",""
"Stress management is S.E.E.D. workshop topic","21640@utexas.edu","A workshop on stress management for students employed by UT Austin introduces stress coping skills. Using cognitive techniques and guided relaxation, this interactive workshop helps participants learn to recognize the effects of stress affects and new ways to relax. Presented by the UT Counseling and Mental Health Center.","North Office Building A (NOA) 4.106A","2012-10-03 18:00:00-05:00","2012-10-03 19:00:00-05:00","http://tinyurl.com/8opxnz7"
"Student Leaders Pursuing Law group meets","22257@utexas.edu","Student Leaders Pursuing Law holds its first meeting of the semester. The organization aims to increase awareness of the importance of diversity in the legal profession while maintaining a useful network of contacts within the profession to provide guidance and advice to aspiring undergraduate minority law students.","Parlin Hall (PAR) 301","2012-10-03 18:30:00-05:00","2012-10-03 19:30:00-05:00","http://www.facebook.com/groups/studentleaderspursuinglaw"
"Indian Cultural Association holds dance clinic Jhoom","22250@utexas.edu","Learn how to dance like a Bollywood pro at a clinic teaching two 45-second routines. Free food served to attendees.","Bellmont Hall (BEL) 502A","2012-10-03 19:00:00-05:00","2012-10-03 21:00:00-05:00",""
"Natural Sciences Week announces Star Party","22258@utexas.edu","University professor and expert Dr. Karl Gebhardt delivers an engaging talk on black holes in RLM 4.202. Afterward, join the Natural Sciences Council on the rooftop of the RLM for stargazing, free dinner and liquid nitrogen ice cream.","Robert Lee Moore Hall (RLM) 4.202 and rooftop","2012-10-03 19:00:00-05:00","2012-10-03 21:00:00-05:00","http://cns.utexas.edu/nsc"
"Undergraduate Forensics Organization meets","22168@utexas.edu","Join the Undergraduate Forensics Organization for its first guest speaker of the semester, Officer Darrel Halstead of the UT Police Department. Light snacks provided.","Garrison Hall (GAR) 2.128","2012-10-03 19:00:00-05:00","2012-10-03 20:00:00-05:00",""
"Texas volleyball plays TCU","22021@utexas.edu","Texas volleyball faces TCU for the first time as Big 12 Conference members. Volley for a Cure Special ticket offer: &#36;4 general admission ticket. Enter promo code PINK at TexasSports.com or call 512-232-3865; advance sale only. Purchase by Wednesday, Oct. 3, at noon. Wear pink to support breast cancer awareness. ","Gregory Gym (GRE)","2012-10-03 19:00:00-05:00","2012-10-03 21:00:00-05:00","http://www.texassports.com"
